Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
113,22,2,168,0,Some Random Commen with Id 113
114,22,2,22,5,Some Random Commen with Id 114
115,23,8,62,5,Some Random Commen with Id 115
116,23,8,105,4,Some Random Commen with Id 116
117,23,8,40,0,Some Random Commen with Id 117
118,23,8,84,8,Some Random Commen with Id 118
119,23,8,144,8,Some Random Commen with Id 119
120,23,8,11,9,Some Random Commen with Id 120
121,24,0,160,2,Some Random Commen with Id 121
122,24,0,176,9,Some Random Commen with Id 122
123,24,0,28,7,Some Random Commen with Id 123
124,24,0,135,2,Some Random Commen with Id 124
125,24,0,188,3,Some Random Commen with Id 125
126,24,0,62,2,Some Random Commen with Id 126
127,24,0,94,8,Some Random Commen with Id 127
128,25,7,121,9,Some Random Commen with Id 128
129,26,3,114,5,Some Random Commen with Id 129
130,26,3,140,2,Some Random Commen with Id 130
131,26,3,139,4,Some Random Commen with Id 131
132,27,8,134,7,Some Random Commen with Id 132
133,27,8,75,8,Some Random Commen with Id 133
134,27,8,143,4,Some Random Commen with Id 134
135,27,8,41,1,Some Random Commen with Id 135
136,27,8,55,0,Some Random Commen with Id 136
137,27,8,95,7,Some Random Commen with Id 137
138,27,8,69,0,Some Random Commen with Id 138
139,27,8,170,5,Some Random Commen with Id 139
140,27,8,159,1,Some Random Commen with Id 140
141,28,2,190,2,Some Random Commen with Id 141
142,28,2,74,4,Some Random Commen with Id 142
143,28,2,47,5,Some Random Commen with Id 143
144,28,2,138,4,Some Random Commen with Id 144
145,29,2,63,6,Some Random Commen with Id 145
146,29,2,125,0,Some Random Commen with Id 146
147,29,2,5,9,Some Random Commen with Id 147
148,29,2,67,2,Some Random Commen with Id 148
149,29,2,75,6,Some Random Commen with Id 149
150,29,2,7,8,Some Random Commen with Id 150
151,29,2,196,9,Some Random Commen with Id 151
152,31,8,110,3,Some Random Commen with Id 152
153,31,8,11,1,Some Random Commen with Id 153
154,31,8,2,6,Some Random Commen with Id 154
155,31,8,165,4,Some Random Commen with Id 155
156,31,8,4,4,Some Random Commen with Id 156
157,31,8,135,4,Some Random Commen with Id 157
158,31,8,17,3,Some Random Commen with Id 158
159,31,8,46,0,Some Random Commen with Id 159
160,32,3,134,9,Some Random Commen with Id 160
161,32,3,23,2,Some Random Commen with Id 161
162,32,3,169,1,Some Random Commen with Id 162
163,33,3,90,5,Some Random Commen with Id 163
164,33,3,76,6,Some Random Commen with Id 164
165,33,3,136,4,Some Random Commen with Id 165
166,33,3,0,1,Some Random Commen with Id 166
167,33,3,78,8,Some Random Commen with Id 167
168,33,3,144,2,Some Random Commen with Id 168
169,33,3,23,4,Some Random Commen with Id 169
170,33,3,196,6,Some Random Commen with Id 170
171,33,3,198,2,Some Random Commen with Id 171
172,34,4,84,5,Some Random Commen with Id 172
173,35,2,35,4,Some Random Commen with Id 173
174,35,2,73,3,Some Random Commen with Id 174
175,35,2,167,1,Some Random Commen with Id 175
176,35,2,89,2,Some Random Commen with Id 176
177,35,2,52,9,Some Random Commen with Id 177
178,35,2,10,9,Some Random Commen with Id 178
179,35,2,67,4,Some Random Commen with Id 179
180,36,6,174,5,Some Random Commen with Id 180
181,36,6,134,2,Some Random Commen with Id 181
182,36,6,179,3,Some Random Commen with Id 182
183,36,6,116,7,Some Random Commen with Id 183
184,36,6,189,0,Some Random Commen with Id 184
185,37,5,93,9,Some Random Commen with Id 185
186,37,5,23,0,Some Random Commen with Id 186
187,39,8,186,0,Some Random Commen with Id 187
188,39,8,194,3,Some Random Commen with Id 188
189,39,8,8,5,Some Random Commen with Id 189
190,39,8,179,2,Some Random Commen with Id 190
191,39,8,51,8,Some Random Commen with Id 191
192,39,8,83,4,Some Random Commen with Id 192
193,39,8,104,0,Some Random Commen with Id 193
194,39,8,159,1,Some Random Commen with Id 194
